publication_date	list_label	scope	rank	entry_name	pfdb_id	issue_url
1984-11-01	Georgia	territory	6	Billy Jack	62	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Georgia	territory	7	Nikolai Volkoff	11	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Georgia	territory	8	Krusher Kruschev	92	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Georgia	territory	10	Jerry Oates	5200	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Atlantic	territory	1	Wahoo McDaniel	535	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Atlantic	territory	2	Angelo Mosca Jr.	5950	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Atlantic	territory	3	Tully Blanchard	106	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Atlantic	territory	5	Junkyard Dog	9	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Atlantic	territory	6	Ricky Steamboat	5	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Atlantic	territory	7	Mark Youngblood	552	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Atlantic	territory	8	Buzz Sawyer	543	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Atlantic	territory	9	The Masked Outlaw	59	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Atlantic	territory	10	Adrian Street	1123	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-South	territory	1	Magnum T. A.	3614	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-South	territory	3	Krusher Kruschev	92	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-South	territory	5	Junkyard Dog	9	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-South	territory	6	Butch Reed	71	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-South	territory	8	Nikolai Volkoff	11	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-South	territory	9	Jay Youngblood	3608	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Southern	territory	1	Rick Rude	87	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Southern	territory	2	Jerry Lawler	150	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Southern	territory	3	Masao Ito	3609	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Southern	territory	4	Randy Savage	27	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Southern	territory	5	Austin Idol	1076	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Southern	territory	6	Tommy Rich	541	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Southern	territory	7	Eddie Gilbert	496	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Southern	territory	8	Ricky Morton	259	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Southern	territory	9	Robert Gibson	260	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Mid-Southern	territory	10	Jim Neidhart	53	http://www.profightdb.com/pwi-monthly/november-1984-285.html
