publication_date	list_label	scope	rank	entry_name	issue_url
1984-03-01	Mid-South	territory	2	Butch Reed	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-South	territory	3	Nikolai Volkoff	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-South	territory	4	Jim Duggan	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-South	territory	5	Junkyard Dog	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-South	territory	6	Kamala	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-South	territory	7	King Kong Bundy	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-South	territory	8	Krusher Darsow	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-South	territory	9	Boris Zhukov	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-South	territory	10	Steve Williams	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Southern	territory	1	Austin Idol	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Southern	territory	2	Jesse Ventura	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Southern	territory	3	Jerry Lawler	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Southern	territory	4	Stan Hansen	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Southern	territory	5	Bill Dundee	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Southern	territory	8	Stan Lane	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Southern	territory	9	Dennis Condrey	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Southern	territory	10	Koko Ware	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Northwest	territory	1	Billy Jack	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Northwest	territory	3	Dynamite Kid	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Northwest	territory	4	Jules Strongbow	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Northwest	territory	5	Rip Oliver	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Northwest	territory	7	Curt Hennig	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Northwest	territory	8	Matt Borne	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Northwest	territory	9	Sheik Abdullah	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	World Class	territory	1	Jim Garvin	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	World Class	territory	2	David Von Erich	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	World Class	territory	3	Kevin Von Erich	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	World Class	territory	4	Michael Hayes	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	World Class	territory	5	Kerry Von Erich	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	World Class	territory	7	Kamala	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	World Class	territory	8	Chris Adams	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	World Class	territory	9	Terry Gordy	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	World Class	territory	10	Super Destroyer #1	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-06-15	Top 10	singles	1	Ric Flair	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Top 10	singles	4	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Top 10	singles	6	Hulk Hogan	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Top 10	singles	8	David Von Erich	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Top 10	singles	9	Dino Bravo	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Top 10	singles	10	Dick Slater	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Popular	most_popular	2	Buzz Sawyer	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Popular	most_popular	3	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Popular	most_popular	4	Jimmy Snuka	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
